,Global_active_power,hour
2007-01-03,17.472,8
2007-01-03,16.492,9
2007-01-03,15.104,10
2007-01-03,17.894,11
2007-01-03,16.522,12
2007-01-03,16.182,13
2007-01-03,16.772,14
2007-01-03,16.544,15
2007-01-03,74.624,16
2007-01-03,19.132,17
2007-01-03,16.71,18
2007-01-03,16.71,19
2007-01-03,15.008,20
2007-01-03,18.59,21
2007-01-03,16.072,22
2007-01-03,15.826,23
2007-01-04,139.47,0
2007-01-04,118.386,1
2007-01-04,106.388,2
2007-01-04,69.566,3
2007-01-04,17.580000000000002,4
2007-01-04,18.21,5
2007-01-04,19.372,6
2007-01-04,55.174,7
2007-01-04,142.744,8
2007-01-04,99.002,9
2007-01-04,113.526,10
2007-01-04,109.322,11
2007-01-04,93.992,12
2007-01-04,83.52,13
2007-01-04,87.348,14
2007-01-04,87.934,15
2007-01-04,20.986,16
2007-01-04,231.606,17
2007-01-04,215.856,18
2007-01-04,198.776,19
2007-01-04,132.59,20
2007-01-04,236.842,21
2007-01-04,254.462,22
2007-01-04,133.3,23
2007-01-05,18.228,0
2007-01-05,15.398,1
2007-01-05,11.922,2
2007-01-05,15.406,3
2007-01-05,11.366,4
2007-01-05,20.102,5
2007-01-05,41.882,6
2007-01-05,39.194,7
2007-01-05,34.482,8
2007-01-05,83.242,9
2007-01-05,94.66199999999999,10
2007-01-05,133.664,11
2007-01-05,69.256,12
2007-01-05,111.044,13
2007-01-05,55.176,14
2007-01-05,94.526,15
2007-01-05,19.004,16
2007-01-05,17.078,17
2007-01-05,111.308,18
2007-01-05,119.748,19
2007-01-05,148.036,20
2007-01-05,207.13,21
2007-01-05,129.892,22
2007-01-05,62.112,23
2007-01-06,20.346,0
2007-01-06,19.514,1
2007-01-06,17.584,2
2007-01-06,19.618,3
2007-01-06,16.154,4
2007-01-06,19.22,5
2007-01-06,90.294,6
2007-01-06,105.152,7
2007-01-06,79.918,8
2007-01-06,77.078,9
2007-01-06,79.682,10
2007-01-06,76.624,11
2007-01-06,71.282,12
2007-01-06,17.936,13
2007-01-06,18.832,14
2007-01-06,17.046,15
2007-01-06,19.196,16
2007-01-06,19.418,17
2007-01-06,20.668,18
2007-01-06,33.403999999999996,19
2007-01-06,81.42,20
2007-01-06,59.268,21
2007-01-06,46.606,22
2007-01-06,19.105999999999998,23
2007-01-07,149.624,0
2007-01-07,59.454,1
2007-01-07,47.394,2
2007-01-07,17.248,3
2007-01-07,30.932000000000002,4
2007-01-07,29.504,5
2007-01-07,26.14,6
2007-01-07,26.556,7
2007-01-07,31.398,8
2007-01-07,54.592,9
2007-01-07,78.634,10
2007-01-07,77.892,11
2007-01-07,30.644000000000002,12
2007-01-07,14.594,13
2007-01-07,21.544,14
2007-01-07,21.844,15
2007-01-07,18.792,16
2007-01-07,16.432,17
2007-01-07,57.056,18
2007-01-07,37.196,19
2007-01-07,36.426,20
2007-01-07,54.222,21
2007-01-07,63.194,22
2007-01-07,25.352,23
2007-01-08,9.894,0
2007-01-08,10.554,1
2007-01-08,13.636,2
2007-01-08,10.536,3
2007-01-08,73.096,4
2007-01-08,48.14,5
2007-01-08,29.7,6
2007-01-08,9.74,7
2007-01-08,84.998,8
2007-01-08,128.884,9
2007-01-08,88.69,10
2007-01-08,86.776,11
2007-01-08,74.894,12
2007-01-08,70.52,13
2007-01-08,104.124,14
2007-01-08,76.436,15
2007-01-08,97.76,16
2007-01-08,20.434,17
2007-01-08,11.122,18
2007-01-08,11.89,19
2007-01-08,9.908,20
2007-01-08,11.418,21
2007-01-08,10.64,22
2007-01-08,10.06,23
2007-01-09,16.398,0
2007-01-09,13.592,1
2007-01-09,12.198,2
2007-01-09,13.614,3
2007-01-09,11.748000000000001,4
2007-01-09,13.112,5
2007-01-09,26.522000000000002,6
2007-01-09,44.668,7
2007-01-09,27.486,8
2007-01-09,97.828,9
2007-01-09,79.056,10
2007-01-09,32.722,11
2007-01-09,25.22,12
2007-01-09,76.15,13
2007-01-09,111.512,14
2007-01-09,134.118,15
2007-01-09,118.646,16
2007-01-09,91.19800000000001,17
2007-01-09,108.884,18
2007-01-09,106.38,19
2007-01-09,91.07600000000001,20
2007-01-09,148.396,21
2007-01-09,111.454,22
2007-01-09,189.508,23
2007-01-10,27.36,0
2007-01-10,17.178,1
2007-01-10,18.65,2
2007-01-10,15.056000000000001,3
2007-01-10,16.66,4
2007-01-10,18.518,5
2007-01-10,36.624,6
2007-01-10,93.812,7
2007-01-10,85.312,8
2007-01-10,199.464,9
2007-01-10,192.454,10
2007-01-10,85.526,11
2007-01-10,20.308,12
2007-01-10,17.118,13
2007-01-10,20.246,14
2007-01-10,19.192,15
2007-01-10,72.874,16
2007-01-10,82.922,17
2007-01-10,73.672,18
2007-01-10,110.46,19
2007-01-10,84.16,20
2007-01-10,107.448,21
2007-01-10,161.852,22
2007-01-10,144.056,23
2007-01-11,15.482,0
2007-01-11,16.54,1
2007-01-11,16.887999999999998,2
2007-01-11,14.79,3
2007-01-11,16.166,4
2007-01-11,16.451999999999998,5
2007-01-11,29.014,6
2007-01-11,62.338,7
2007-01-11,16.704,8
2007-01-11,15.314,9
2007-01-11,14.248,10
2007-01-11,16.982,11
2007-01-11,15.34,12
2007-01-11,15.352,13
2007-01-11,16.672,14
2007-01-11,15.354,15
2007-01-11,15.704,16
2007-01-11,15.544,17
2007-01-11,74.07600000000001,18
2007-01-11,15.416,19
2007-01-11,15.154,20
2007-01-11,15.502,21
2007-01-11,15.283999999999999,22
2007-01-11,15.9,23
2007-01-12,26.396,0
2007-01-12,23.552,1
2007-01-12,16.382,2
2007-01-12,20.212,3
2007-01-12,54.202,4
2007-01-12,16.136,5
2007-01-12,18.55,6
2007-01-12,83.112,7
2007-01-12,135.062,8
2007-01-12,116.714,9
2007-01-12,180.4,10
2007-01-12,189.384,11
2007-01-12,167.892,12
2007-01-12,165.042,13
2007-01-12,114.958,14
2007-01-12,147.656,15
2007-01-12,98.804,16
2007-01-12,220.192,17
2007-01-12,252.596,18
2007-01-12,176.91,19
2007-01-12,217.256,20
2007-01-12,308.374,21
2007-01-12,220.172,22
2007-01-12,164.988,23
2007-01-13,53.304,0
2007-01-13,19.004,1
2007-01-13,15.386,2
2007-01-13,17.872,3
2007-01-13,17.34,4
2007-01-13,15.876,5
2007-01-13,18.91,6
2007-01-13,107.558,7
2007-01-13,159.332,8
2007-01-13,102.95400000000001,9
2007-01-13,190.202,10
2007-01-13,213.784,11
2007-01-13,118.21,12
2007-01-13,98.352,13
2007-01-13,97.782,14
2007-01-13,124.3,15
2007-01-13,123.458,16
2007-01-13,167.88400000000001,17
2007-01-13,113.286,18
2007-01-13,189.27,19
2007-01-13,270.726,20
2007-01-13,298.888,21
2007-01-13,348.856,22
2007-01-13,304.28,23
2007-01-14,200.434,0
2007-01-14,174.96,1
2007-01-14,172.766,2
2007-01-14,67.304,3
2007-01-14,68.054,4
2007-01-14,71.646,5
2007-01-14,94.566,6
2007-01-14,68.464,7
2007-01-14,78.91,8
2007-01-14,133.562,9
2007-01-14,104.182,10
2007-01-14,60.514,11
2007-01-14,42.75,12
2007-01-14,77.922,13
2007-01-14,109.648,14
2007-01-14,125.824,15
2007-01-14,205.548,16
2007-01-14,252.668,17
2007-01-14,215.54,18
2007-01-14,197.49,19
2007-01-14,191.574,20
2007-01-14,126.458,21
2007-01-14,87.764,22
2007-01-14,82.472,23
2007-01-15,81.438,0
2007-01-15,80.504,1
2007-01-15,27.72,2
2007-01-15,17.392,3
2007-01-15,17.496,4
2007-01-15,14.64,5
2007-01-15,18.5,6
2007-01-15,116.694,7
2007-01-15,155.744,8
2007-01-15,95.7,9
2007-01-15,111.316,10
2007-01-15,82.286,11
2007-01-15,67.862,12
2007-01-15,39.126,13
2007-01-15,89.048,14
2007-01-15,97.394,15
2007-01-15,92.54,16
2007-01-15,107.518,17
2007-01-15,134.87,18
2007-01-15,178.304,19
2007-01-15,164.554,20
2007-01-15,97.41,21
2007-01-15,111.434,22
2007-01-15,149.188,23
2007-01-16,23.242,0
2007-01-16,17.956,1
2007-01-16,18.51,2
2007-01-16,17.62,3
2007-01-16,47.025999999999996,4
2007-01-16,24.518,5
2007-01-16,42.046,6
2007-01-16,149.054,7
2007-01-16,65.094,8
2007-01-16,53.256,9
2007-01-16,24.028,10
2007-01-16,38.422,11
2007-01-16,116.08,12
2007-01-16,56.698,13
2007-01-16,115.012,14
2007-01-16,53.408,15
2007-01-16,98.938,16
2007-01-16,171.69,17
2007-01-16,187.57,18
2007-01-16,117.57,19
2007-01-16,83.81,20
2007-01-16,84.166,21
2007-01-16,57.286,22
2007-01-16,23.404,23
2007-01-17,17.96,0
2007-01-17,14.788,1
2007-01-17,51.604,2
2007-01-17,16.038,3
2007-01-17,17.201999999999998,4
2007-01-17,15.81,5
2007-01-17,52.608,6
2007-01-17,134.148,7
2007-01-17,187.196,8
2007-01-17,193.62800000000001,9
2007-01-17,245.146,10
2007-01-17,146.736,11
2007-01-17,104.832,12
2007-01-17,85.542,13
2007-01-17,91.782,14
2007-01-17,232.318,15
2007-01-17,113.31,16
2007-01-17,184.012,17
2007-01-17,100.122,18
2007-01-17,156.392,19
2007-01-17,193.25,20
2007-01-17,212.684,21
2007-01-17,163.24,22
2007-01-17,117.34,23
2007-01-18,84.1,0
2007-01-18,67.714,1
2007-01-18,17.948,2
2007-01-18,17.122,3
2007-01-18,17.156,4
2007-01-18,16.354,5
2007-01-18,44.84,6
2007-01-18,157.304,7
2007-01-18,99.496,8
2007-01-18,79.594,9
2007-01-18,51.968,10
2007-01-18,16.778,11
2007-01-18,18.302,12
2007-01-18,30.366,13
2007-01-18,22.322,14
2007-01-18,36.769999999999996,15
2007-01-18,97.984,16
2007-01-18,129.2,17
2007-01-18,188.008,18
2007-01-18,167.58,19
2007-01-18,178.112,20
2007-01-18,166.728,21
2007-01-18,84.218,22
2007-01-18,31.498,23
2007-01-19,18.322,0
2007-01-19,18.98,1
2007-01-19,18.286,2
2007-01-19,18.514,3
2007-01-19,19.036,4
2007-01-19,18.026,5
2007-01-19,48.04,6
2007-01-19,170.346,7
2007-01-19,127.666,8
2007-01-19,109.978,9
2007-01-19,68.678,10
2007-01-19,15.474,11
2007-01-19,18.15,12
2007-01-19,22.956,13
2007-01-19,25.381999999999998,14
2007-01-19,21.52,15
2007-01-19,61.93,16
2007-01-19,80.428,17
2007-01-19,44.092,18
2007-01-19,57.646,19
2007-01-19,92.734,20
2007-01-19,145.358,21
2007-01-19,149.438,22
2007-01-19,109.46,23
2007-01-20,103.908,0
2007-01-20,68.956,1
2007-01-20,62.304,2
2007-01-20,67.22,3
2007-01-20,61.39,4
2007-01-20,63.06,5
2007-01-20,66.422,6
2007-01-20,126.812,7
2007-01-20,122.108,8
2007-01-20,122.912,9
2007-01-20,136.784,10
2007-01-20,124.536,11
2007-01-20,110.58800000000001,12
2007-01-20,255.062,13
2007-01-20,158.022,14
2007-01-20,118.282,15
2007-01-20,117.152,16
2007-01-20,167.712,17
2007-01-20,258.742,18
2007-01-20,320.582,19
2007-01-20,222.776,20
2007-01-20,145.544,21
2007-01-20,65.702,22
2007-01-20,67.156,23
2007-01-21,82.334,0
2007-01-21,90.0,1
2007-01-21,94.048,2
2007-01-21,71.91,3
2007-01-21,70.466,4
2007-01-21,72.374,5
2007-01-21,106.726,6
2007-01-21,65.276,7
2007-01-21,115.756,8
2007-01-21,115.5,9
2007-01-21,127.834,10
2007-01-21,171.604,11
2007-01-21,161.802,12
2007-01-21,165.834,13
2007-01-21,115.544,14
2007-01-21,105.088,15
2007-01-21,73.7,16
2007-01-21,171.042,17
2007-01-21,218.936,18
2007-01-21,319.826,19
2007-01-21,364.594,20
2007-01-21,354.646,21
2007-01-21,139.664,22
2007-01-21,32.758,23
2007-01-22,18.962,0
2007-01-22,15.693999999999999,1
2007-01-22,18.296,2
2007-01-22,15.618,3
2007-01-22,18.228,4
2007-01-22,15.996,5
2007-01-22,59.62,6
2007-01-22,111.876,7
2007-01-22,185.176,8
2007-01-22,145.326,9
2007-01-22,113.698,10
2007-01-22,80.482,11
2007-01-22,81.228,12
2007-01-22,65.85,13
2007-01-22,86.268,14
2007-01-22,85.264,15
2007-01-22,71.414,16
2007-01-22,68.83800000000001,17
2007-01-22,81.804,18
2007-01-22,221.954,19
2007-01-22,267.344,20
2007-01-22,154.414,21
2007-01-22,99.328,22
2007-01-22,97.816,23
2007-01-23,122.46,0
2007-01-23,32.32,1
2007-01-23,28.34,2
2007-01-23,28.222,3
2007-01-23,27.902,4
2007-01-23,27.986,5
2007-01-23,27.278,6
2007-01-23,133.508,7
2007-01-23,99.77,8
2007-01-23,85.19,9
2007-01-23,15.522,10
2007-01-23,17.984,11
2007-01-23,16.1,12
2007-01-23,17.328,13
2007-01-23,16.212,14
2007-01-23,17.362,15
2007-01-23,20.394000000000002,16
2007-01-23,120.298,17
2007-01-23,143.282,18
2007-01-23,218.458,19
2007-01-23,214.736,20
2007-01-23,175.168,21
2007-01-23,92.46000000000001,22
2007-01-23,79.36,23
2007-01-24,110.844,0
2007-01-24,95.212,1
2007-01-24,89.006,2
2007-01-24,88.758,3
2007-01-24,86.718,4
2007-01-24,86.744,5
2007-01-24,82.91,6
2007-01-24,211.422,7
2007-01-24,225.49,8
2007-01-24,211.074,9
2007-01-24,157.948,10
2007-01-24,93.5,11
2007-01-24,172.296,12
2007-01-24,110.23,13
2007-01-24,94.778,14
2007-01-24,152.388,15
2007-01-24,163.116,16
2007-01-24,101.306,17
2007-01-24,130.214,18
2007-01-24,129.448,19
2007-01-24,177.838,20
2007-01-24,93.066,21
2007-01-24,55.446,22
2007-01-24,68.102,23
2007-01-25,35.754,0
2007-01-25,15.19,1
2007-01-25,18.444,2
2007-01-25,15.624,3
2007-01-25,18.942,4
2007-01-25,15.608,5
2007-01-25,30.684,6
2007-01-25,157.27,7
2007-01-25,79.612,8
2007-01-25,35.22,9
2007-01-25,16.134,10
2007-01-25,17.528,11
2007-01-25,17.296,12
2007-01-25,21.606,13
2007-01-25,72.154,14
2007-01-25,103.128,15
2007-01-25,89.474,16
2007-01-25,105.896,17
2007-01-25,144.964,18
2007-01-25,182.546,19
2007-01-25,121.776,20
2007-01-25,137.914,21
2007-01-25,80.636,22
2007-01-25,62.944,23
2007-01-26,17.574,0
2007-01-26,16.522,1
2007-01-26,16.004,2
2007-01-26,17.054,3
2007-01-26,16.132,4
2007-01-26,17.366,5
2007-01-26,65.886,6
2007-01-26,135.982,7
2007-01-26,30.706,8
2007-01-26,48.088,9
2007-01-26,48.004,10
2007-01-26,152.346,11
2007-01-26,102.892,12
2007-01-26,95.368,13
2007-01-26,92.19200000000001,14
2007-01-26,40.468,15
2007-01-26,17.416,16
2007-01-26,35.53,17
2007-01-26,54.370000000000005,18
2007-01-26,104.202,19
2007-01-26,88.638,20
2007-01-26,156.444,21
2007-01-26,143.712,22
2007-01-26,105.07600000000001,23
2007-01-27,30.886,0
2007-01-27,25.726,1
2007-01-27,15.762,2
2007-01-27,17.092,3
2007-01-27,17.412,4
2007-01-27,17.104,5
2007-01-27,31.92,6
2007-01-27,91.912,7
2007-01-27,123.296,8
2007-01-27,110.758,9
2007-01-27,109.966,10
2007-01-27,94.72,11
2007-01-27,84.166,12
2007-01-27,92.512,13
2007-01-27,194.51,14
2007-01-27,125.326,15
2007-01-27,122.78,16
2007-01-27,86.07,17
2007-01-27,122.904,18
2007-01-27,126.646,19
2007-01-27,120.848,20
2007-01-27,62.786,21
2007-01-27,33.766,22
2007-01-27,185.204,23
2007-01-28,190.324,0
2007-01-28,86.316,1
2007-01-28,83.152,2
2007-01-28,86.52,3
2007-01-28,86.93,4
2007-01-28,84.576,5
2007-01-28,87.728,6
2007-01-28,82.084,7
2007-01-28,133.724,8
2007-01-28,130.278,9
2007-01-28,106.276,10
2007-01-28,129.394,11
2007-01-28,251.75,12
2007-01-28,202.106,13
2007-01-28,106.528,14
2007-01-28,137.832,15
2007-01-28,121.582,16
2007-01-28,151.106,17
2007-01-28,197.57,18
2007-01-28,149.82,19
2007-01-28,227.472,20
2007-01-28,184.722,21
2007-01-28,54.394,22
2007-01-28,20.316,23
2007-01-29,16.616,0
2007-01-29,18.762,1
2007-01-29,16.614,2
2007-01-29,18.99,3
2007-01-29,16.322,4
2007-01-29,63.854,5
2007-01-29,29.666,6
2007-01-29,74.92,7
2007-01-29,94.358,8
2007-01-29,109.676,9
2007-01-29,91.018,10
2007-01-29,84.714,11
2007-01-29,95.372,12
2007-01-29,106.3,13
2007-01-29,89.11,14
2007-01-29,88.13,15
2007-01-29,106.006,16
2007-01-29,99.254,17
