HQContractId,passerelle_id,locationId,address_id,postalCode,locationType
301174891,AC000W013292715,2715,3620-D1Q4X0,J7T 2R9,Maison détachée
301238609,AC000W013303128,1850,3669-Q7K8R4,J7T 3G1,Maison détachée
301240507,AC000W008501753,2044,2182-R7B4K4,J7T1H9,
301254085,AC000W008519270,190,1343-L0B4G3,J0L2R0,Maison détachée
301260165,AC000W008522662,934,2076-Z7N7H2,J7V 8K4,Maison en rangée
301278112,AC000W013294723,863,1503-D2G7W8,J3N 1Z2,Maison détachée
301280754,AC000W008522997,1203,2040-R5Q5D8,H9K 1J3,
301280836,AC000W008518907,1770,2711-S4R2V1,H8R 3R7,Maison détachée
301280836,AC000W008535283,1770,2711-S4R2V1,H8R 3R7,Maison détachée
301292022,AC000W008502415,2798,3891-K9Z4S7,J5A 2P2,Maison détachée
301323664,AC000W008498999,2663,2098-R2B5X3,G9H 2A5,
301331772,AC000W008530930,141,1169-S4K6N0,J5R 6P7,Maison détachée
301412214,AC000W008522671,621,1433-K0N7L1,j7t2k6,Maison détachée
301464754,AC000W008519554,1348,3005-P8B6P4,J0P 1M0,Maison détachée
301468137,AC000W008491264,2670,3423-V7T5R9,J7V 5Y9,Maison détachée
301485334,AC000W008499480,1771,3219-B2S9Z6,J5A 1Y9,Maison détachée
301489394,AC000W008520169,1824,3481-Y4S4Q2,J5A 1Z2,Maison détachée
301493693,AC000W008498414,832,1428-S2D5W8,J4B 7R8,Maison détachée
301540190,AC000W008517889,2035,1400-B8L5J9,J4G 2P1,
301562194,AC000W008490509,1442,2939-T3L3M4,H8P 3R8,Maison en rangée
301570244,AC000W008499565,2013,1614-C3Q5Q5,J4G 1V2,
301584258,AC000W008502880,1883,3149-V1G2J4,J4R 2J9,Immeuble - moins de 5 logements
301651340,AC000W008528993,2068,1139-L3H2L3,J3N 1L1,
301651341,AC000W013288932,2706,3920-V1P1Z7,J4M 2W4,Maison détachée
301655280,AC000W008507928,457,1912-B0S0D7,J2W 1T6,Maison détachée
301666471,AC000W013307267,2744,3663-F0Q2T5,J3X 1L9,Maison détachée
301673143,AC000W008515180,469,1995-Y5V9T4,J3X 1K5,Maison en rangée
301674762,AC000W008503721,404,1179-N6Y8X7,J3X 1E3,Maison détachée
301675440,AC000W008506490,57,1147-R8C4H2,J3X 1B3,Maison détachée
301683749,AC000W008509815,2542,3935-M1Y9Q0,J3Y 7J3,Maison détachée
301687976,AC000W008514458,360,1606-W0Q7J6,J3y 4m7,Maison détachée
301701184,AC000W013302685,2714,4068-F1M1H0,J4B 8H4,Maison détachée
301734053,AC000W013293368,2719,4052-Y3W4R2,J3V 6C8,Maison détachée
301737388,AC000W008497117,2402,3521-Z0B4L4,J3Y 8S2,Maison détachée
301750503,AC000W013306174,2701,4047-T1M4M4,J3X 2E7,Maison en rangée
301755689,AC000W013311507,2652,3955-X1R8W4,J3B 6X1,Maison détachée
301756325,AC000W008492356,1581,3260-F0Z6K8,J3E 2L9,Maison détachée
301771889,AC000W008505817,2635,3952-N4B6Q0,J3L 4Z5,Maison détachée
301787219,AC000W008496765,448,1560-C3S3H7,J3N 1W1,Maison détachée
301807707,AC000W008513504,305,1522-N7M6M6,J3X 2H3,Maison détachée
301808226,AC000W008498324,556,1511-F8K3H8,J3X 2H2,
301823403,AC000W008510227,2678,1790-Q7Q7W4,J4B 8E1,
301830887,AC000W008510603,251,1697-F0Z5J9,J3Y8T1,Maison détachée
301836866,AC000W008508653,1757,3270-C9H6Z6,J4X 1X9,Maison détachée
301844548,AC000W008517879,369,1926-Z5K9T7,J4Y 3B1,
301853563,AC000W008521443,2642,3905-X0K3N8,J4X 2S3,Maison détachée
301859980,AC000W013314354,2702,3813-G6X2M6,J4M 1W1,Maison en rangée
301885995,AC000W008488842,1358,2608-M1K4W5,J3X 2C2,Maison détachée
301947362,AC000W013309549,2704,1898-W3N9D5,G1X 3Y2,
301977241,AC000W008500522,1512,2649-D5V2J3,G1C 6A3,Maison détachée
301977241,AC000W008517320,1512,2649-D5V2J3,G1C 6A3,Maison détachée
301981563,AC000W013316119,2751,4077-Z9X0H1,J3G 5K2,Maison détachée
301991312,AC000W008514780,747,2029-W7M2M1,G3A 2Y1,Maison détachée
301991312,AC000W008530269,747,2029-W7M2M1,G3A 2Y1,Maison détachée
301999958,AC000W008504167,1457,2832-D9S8P3,G2C 1L3,Maison en rangée
302007793,AC000W008533836,1906,1308-J1M4H1,G1t1c9,
302011931,AC000W008494151,913,1812-W6V5M3,G3E 1B3,Maison détachée
302023869,AC000W008499092,1164,2640-H8N8K7,G1J 2A4,Immeuble - moins de 5 logements
302032802,AC000W008514681,1590,2936-Y9S0R6,G3A 1P9,Maison détachée
302038642,AC000W008531535,380,1458-Y5H1S7,G3A 2J2,Maison détachée
302044678,AC000W008517797,898,2079-H1H4K9,G1M 3T3,Maison en rangée
302047818,AC000W008508183,1513,3051-Y1C5S4,G1M 3T4,Maison en rangée
302053891,AC000W013287376,2560,3705-K1F0J5,G2K 1S4,Maison en rangée
302089227,AC000W008511087,932,1305-W9T8W1,G1T1M5,Maison détachée
302096998,AC000W008499182,2636,3704-L3K1V3,J0H 1S0,Maison détachée
302113694,AC000W008500794,2292,4017-L9S3Z6,G1G 6R7,Maison détachée
302120703,AC000W008511692,1495,2739-H0Q9Y0,G2A 3Z2,Maison détachée
302138059,AC000W008519018,795,2153-Q2J8N5,G2G 2L3,
302148203,AC000W008528907,368,1474-Z6T5B5,g2e4h3,Maison détachée
302152621,AC000W013305484,2525,4043-J8P9G1,G2M 1E6,Maison détachée
302178074,AC000W008516766,2349,3692-N9N1G0,G3A 1G4,Maison détachée
302196506,AC000W008506705,1572,2902-H4T5G5,G1R 1B5,Maison en rangée
302214899,AC000W008527775,1516,3120-F1W7W1,G1N2J1,Immeuble - moins de 5 logements
302270336,AC000W008526232,1706,3082-F5Z4V0,G0A 3R0,Maison détachée
302280485,AC000W013292646,2708,3792-X7X2M7,G0A 1H0,Maison détachée
302321937,AC000W008498424,2658,3925-G4F0V0,G6V 8W6,Maison détachée
302329531,AC000W008529427,2386,3990-Q9R1N4,G6J 1E8,Maison détachée
302381880,AC000W008493738,1625,3337-G8P7J7,H7G 3Z8,Maison détachée
302382696,AC000W008506388,1224,2954-P9W8J7,H7R 5E7,Maison détachée
302392825,AC000W008536625,522,2054-M5S5T3,H7A 3Y3,Maison détachée
302395265,AC000W008488731,1833,3404-Y2V8G3,H7N 4V7,Maison détachée
302415798,AC000W013300994,2732,4059-B5N3V5,H7T 2L3,Maison détachée
302417026,AC000W008489051,1877,3618-X0M9H0,H7H 2Y9,Maison en rangée
302488247,AC000W008492941,1517,3193-N0L5J0,G6W 6R2,Maison détachée
302524272,AC000W008502866,2565,4045-V1L9N0,H7P 5R3,Maison détachée
302536098,AC000W008506578,1538,2594-K4T1J9,G6C 1K8,Maison détachée
302539604,AC000W008513386,35,1505-M5C9P0,H7E 1W7,Maison détachée
302542077,AC000W013287200,2668,3969-R4Q9X4,H7K 1V6,Maison détachée
302542559,AC000W008516840,142,1272-D5T7Q0,J5L1L6,Maison détachée
302547819,AC000W008536251,594,2309-B2M7Y1,H7K 1H3,Maison détachée
302569240,AC000W008514932,259,1360-Z5K4G0,H7G 1X2,Maison détachée
302585814,AC000W008519564,2671,1520-W4G7Z3,H7P 5B6,
302600847,AC000W008510507,1119,2737-C3W1V9,H7L 4W5,Maison détachée
302625884,AC000W008509800,2617,3807-L1K7K7,H7W 5E7,Immeuble - moins de 5 logements
302655350,AC000W008496230,2674,2359-X6M1T2,h7m4w7,
302708759,AC000W008533108,1482,2984-R2W7N7,J7R 6K5,Maison détachée
302751892,AC000W008511640,83,1072-J1K0G9,J7G 3J4,Maison détachée
302756492,AC000W008509939,1944,1239-B3R1T0,J7G 3B9,Maison détachée
302770956,AC000W008508389,73,1120-M9T3W3,J6X 3W4,Maison détachée
302802179,AC000W008522294,681,1564-S8G6Q8,J7R 7H5,Maison détachée
302815825,AC000W008533623,1006,1414-V9J4N7,J0N 1P0,Maison détachée
302845075,AC000W008505653,319,1680-Z7L3J0,J7P 3P4,Maison détachée
302846156,AC000W008494953,2624,3808-Y2B2Y4,J0N 1P0,Maison détachée
302865819,AC000W008519612,2177,1855-B5W5G1,J6Z 4H5,
302883877,AC000W008520875,2517,3993-G9K4R1,J7Z 1G1,Immeuble - moins de 5 logements
302917506,AC000W008497149,2633,3945-K9M5Y0,J6Y 1W3,Maison détachée
302918265,AC000W008522736,918,1903-N3S2T6,J7c4r8,Maison détachée
302923997,AC000W008519424,1434,2731-J4R7L8,J7P 3Y4,Maison détachée
302946497,AC000W013304250,1273,2953-G8C5X2,J5Y 3M9,Maison détachée
302953686,AC000W013297618,2713,3860-Y8W5P7,J7M 2C3,Maison détachée
302972070,AC000W008502656,2200,1080-P1J3T1,J6V 1E8,
302975200,AC000W008525945,2146,3756-V2Y9X0,J5Y 0A1,Maison détachée
302984859,AC000W008525889,1723,3252-Q1N2G8,J6A 7T8,Maison détachée
302994309,AC000W013301373,2553,4053-T4F5W4,J6W 4W9,Maison en rangée
303006006,AC000W008514564,1294,2803-M4Y1B9,J5M 2A2,Maison détachée
303039949,AC000W008505352,124,1039-G3Q4Q5,J7G 2L9,Maison en rangée
303041642,AC000W008500046,1287,2677-X0N9R1,J7K 3Y1,Maison détachée
303080787,AC000W013309092,827,2364-V4L8S3,J5Y 2R4,Maison détachée
303160525,AC000W008492070,480,1407-S3S3S5,J8R 1W4,Immeuble - moins de 5 logements
303165752,AC000W008513991,1750,3338-C0Z2R2,G8T 2B3,Maison détachée
303167388,AC000W013293719,2398,3991-G7J7S0,G8Y 4T9,Maison détachée
303178359,AC000W008507326,560,1391-C2R7T9,J9J 3B5,Maison détachée
303179136,AC000W008488137,1626,3100-Y6M1W7,J8V 2J9,Maison en rangée
303196822,AC000W008518266,1793,3508-Z3Y0C8,J8N 7G7,Maison détachée
303197493,AC000W008495026,1951,1334-Y4X7G7,G9B 6T3,
303202143,AC000W008520933,1871,3791-P5T8D1,G8Z 2E5,Immeuble - moins de 5 logements
303220025,AC000W008503903,1712,3467-B1F2V9,G8T 2R1,Maison détachée
303221753,AC000W008523893,2630,3910-N5D8G7,G8V 1P9,Maison détachée
303235363,AC000W008534696,627,2120-D8Y1V8,G9R 1B8,Maison détachée
303246233,AC000W008500776,653,1073-W9V5M5,G8W 1G8,Maison détachée
303250828,AC000W013302472,2640,3934-P9C0M5,J8R 2C7,Maison en rangée
303255146,AC000W013295388,2468,4024-X0C7F8,J8T 4C6,Maison détachée
303263458,AC000W008514591,666,2159-R1R6P5,G8Y 2P9,
303311609,AC000W008496498,1928,2140-V1X9X5,g9b6g6,
303315922,AC000W008511535,1121,2674-X0G8G6,G9B 6S3,Maison détachée
303357665,AC000W008503268,632,2336-Q8L5C6,J8V 1H3,Maison détachée
303367404,AC000W008521057,2792,3858-N5L3P4,G8T 2J2,Maison détachée
303426769,AC000W013307295,2457,3783-S6Z0Z7,G8Y 6P2,Maison détachée
303446137,AC000W008518540,935,1643-N5J3D4,G8T 9N2,Maison détachée
303791914,AC000W013295992,2337,4015-C8F4S7,J5W 4Z8,Maison détachée
303807536,AC000W013299666,2313,4019-B5F1W5,J5R 0E4,Maison en rangée
303875897,AC000W008520233,2334,3799-F0F2P9,J7C 4T5,Maison détachée
303890734,AC000W013300444,1917,2453-L5P5B0,J7M 1W3,
303892438,AC000W008511083,1191,2583-L5Q3J8,G9C 0A4,Maison détachée
303924741,AC000W008499082,143,1928-H8H7Y4,H1V 1L3,
303932407,AC000W008518762,351,2228-V9J2V1,J3H 5Z8,
303977563,AC000W008536453,2396,3753-L9B0Z5,G3A 1A6,Maison détachée
304029874,AC000W008488519,2656,3973-D0P6N6,J5W 2N5,Maison détachée
304054244,AC000W008489226,1454,2567-W1V0Q2,J3B 7L3,Maison détachée
304162520,AC000W008534930,857,1497-Q1P7J7,G2M 1G8,Maison détachée
304184556,AC000W008510702,1445,2744-W2V8G5,H1N 2J3,Maison détachée
304234720,AC000W008492294,1755,3145-S4Z0C0,J0N 1P0,Maison détachée
304383918,AC000W008494810,484,1843-G1W5V1,G8W0B1,Maison détachée
304426954,AC000W008510270,106,1082-Q9L6G4,H7L 6H7,Maison détachée
304485927,AC000W008526395,60,1166-K4V4Y7,J0L 1N0,Maison détachée
304506184,AC000W008498158,2069,1199-W8R1W2,J4M 0A2,
304538756,AC000W008491088,2649,3597-M0G2R2,J6Z 4W9,Immeuble - moins de 5 logements
304567883,AC000W008504925,2259,3536-P9M2C8,J3H 0B3,Maison détachée
304707472,AC000W008517433,826,2142-Q7M3F3,G2B 1G7,
304789564,AC000W008516776,1437,2683-N4M9G0,J3B 8L2,Maison détachée
304832303,AC000W008494672,2186,3880-D1B0P0,J7R 7A9,Maison détachée
304909166,AC000W013297168,2551,4058-N7G3F7,J2H 0E8,Immeuble - moins de 5 logements
304960886,AC000W008493454,1725,3050-W4N5T5,J0P 1M0,Maison détachée
305110737,AC000W013294209,2632,3788-V7R3N6,G6J 1N8,Maison détachée
305123118,AC000W008519729,2329,1174-X9Z5K7,J4L 4K7,
305158530,AC000W008503651,764,1588-Z8Z1S6,J3E 2K2,Maison détachée
305201522,AC000W008533560,1978,1339-J7B5G1,H1Y 2W7,
305268732,AC000W008535821,2243,2005-C3F5C4,J6Y 1X4,
305308478,AC000W008534893,2325,3919-K9H5N5,H7T 2N5,Immeuble - moins de 5 logements
305324268,AC000W008523732,2733,3634-P2G9H5,H1Z 3N7,Immeuble - moins de 5 logements
305348528,AC000W008524003,1079,2508-P7S8M6,H2R2B3,Immeuble - moins de 5 logements
305385483,AC000W008514214,2267,3302-C9M1Q0,J7T 2H2,Maison détachée
305416588,AC000W008497880,676,2179-Y5K1R2,H1K 4X4,
305418432,AC000W008502527,2433,1135-J1D2J9,J3X 1H9,
305461076,AC000W008532799,1969,1178-Y3V1F5,H7P 3V3,
305475192,AC000W008506354,401,1870-Z8J5D6,J3H 6C1,Maison détachée
305496230,AC000W008517663,2665,3970-B6Q1V6,H7T 2G1,Maison détachée
305516815,AC000W013296633,1488,2910-J7S7L9,H1J 2R7,Maison en rangée
305533972,AC000W013303894,2699,2016-L8J7S7,g3k0c5,
305546114,AC000W008523305,2641,3868-R4L2J1,J0N 1M0,Maison détachée
305550815,AC000W008520856,2514,1890-K0M3B3,H2j 3z4,
305553066,AC000W008508490,881,2093-P0Q2G7,J4S 1Z1,Maison en rangée
305567712,AC000W013309619,2626,3475-S4B9L3,H3R 1P7,Maison détachée
305568878,AC000W013297569,286,1820-C9C6J2,H2S 2Z5,Maison en rangée
305581380,AC000W008499645,1798,3300-N6H6Z5,H2K 3T5,Immeuble - moins de 5 logements
305594209,AC000W008495605,2065,1261-V4V3S4,H7X2Z3,
305629726,AC000W008535940,648,2073-N5S8J2,J5W 0G8,Maison détachée
305639995,AC000W008521388,230,1256-W4W2S2,J3X 1B9,Maison détachée
305650489,AC000W008509665,2723,1059-P7P2Q3,J0L 1N0,
305650489,AC000W013291772,2723,1059-P7P2Q3,J0L 1N0,
305654237,AC000W008532001,2103,1639-X3B9Q2,J6V 1K7,
305663593,AC000W013297057,2273,3708-W5T5Z8,J4W 1Z7,Maison détachée
305689231,AC000W008489591,883,2056-V5T9L4,G9B 8B1,
305704681,AC000W013310402,2639,3933-R2D4P4,J4Z 3R5,Maison détachée
305776234,AC000W008501506,2667,3947-J9M2Q5,G9B 7N1,Maison détachée
305831069,AC000W008490501,1501,2586-R1R2L7,J3V 5L7,Maison détachée
305864795,AC000W008492146,113,1074-T5Z1D2,J0L 1N0,Maison détachée
305869785,AC000W008525659,2761,3888-R7T0V5,J7Z 1G1,Immeuble - moins de 5 logements
305942010,AC000W008514055,1577,3112-Y7L4W4,J7R 4H2,Maison en rangée
305977617,AC000W008489227,2310,2282-J0C0M8,H2H 1X7,
306049432,AC000W008525736,1821,3537-F3R5B2,J4B 5T2,Maison détachée
306098586,AC000W008525141,2421,4028-R8B1W1,G8T 9G8,Maison détachée
306188530,AC000W008511486,1302,2667-F9W9P0,G8Y 6S8,Maison détachée
306237579,AC000W008515249,547,1623-F1B6N7,J7V0K2,Maison détachée
306277048,AC000W008531362,2672,3452-W1G5J1,G1G 1H9,Maison détachée
306300037,AC000W008514690,1662,3304-W7N6P3,J0L 1N0,Maison détachée
306301752,AC000W008500581,318,1814-X2M1S0,J3X 1M7,Maison détachée
306315611,AC000W008518644,2163,3728-S6F7H7,J7G 2M2,Maison détachée
306325919,AC000W008516400,2618,1453-R7R2N1,H7R 6J3,
306396710,AC000W008498349,434,1151-G3D8G2,J5A 0C1,Maison détachée
306400808,AC000W008514007,1496,3116-G7D6B4,H2J 2M2,Immeuble - moins de 5 logements
306406888,AC000W008518866,760,2147-W9V0P2,J7T 3B4,
306413529,AC000W008502727,137,1100-D8Z8P1,J3X 2A6,Maison détachée
306441016,AC000W013301842,2549,3571-Y2Y2X2,H8S 2T4,Immeuble - moins de 5 logements
306463280,AC000W008495861,2594,4042-Z4R4H5,J3M 0C9,Maison détachée
306477647,AC000W008507066,1284,2662-N1D2N3,J4M 2R5,Maison détachée
306573182,AC000W008510431,2646,3699-C8J7N7,J8V 3B2,Maison détachée
306699736,AC000W008504631,2622,3761-Q9V2G6,J8T 7E5,Maison en rangée
306709860,AC000W008529207,2582,4112-H4H0Q9,H7L 0C3,Maison détachée
306736778,AC000W008520791,39,1171-P3B6G9,H4H 2E6,Maison en rangée
306774740,AC000W008488819,901,2366-Q8W9J0,G9N 6A2,Maison détachée
306775352,AC000W008490277,2556,3435-M2X1J8,G1K 1S2,Immeuble - moins de 5 logements
306781200,AC000W008523616,554,1970-Q0L9C8,J8R 2K2,Maison en rangée
306881964,AC000W008514871,512,1435-X9R0T2,H1Y 2N3,Maison en rangée
306891845,AC000W013293191,2698,4069-W9D0J0,J6R 0C5,Maison détachée
306933081,AC000W008527290,1616,3369-X5K0F7,H2J 3M3,Maison détachée
306979998,AC000W008516297,2552,3662-X7Y6W9,H2A 3C1,Maison détachée
306995518,AC000W008517584,1368,3072-W1G2L3,G1J 2B4,Immeuble - moins de 5 logements
307029988,AC000W008518138,2593,3795-V5L6T0,J2L 2B7,Maison détachée
307055272,AC000W008489527,445,1567-J7D5K0,H7N 4E7,Maison en rangée
307094739,AC000W008519797,2191,1028-M6F6F5,J5C 1E3,
307114133,AC000W008517270,1067,1191-R6B3Y6,J3B 8L5,Maison détachée
307123422,AC000W008523023,1315,2596-L8K1G2,H1Y 3M2,Maison en rangée
307137630,AC000W008490654,590,1838-B0R6Y3,G2C1J3,Maison détachée
307156691,AC000W008530919,1098,2648-T6V5S4,J7C 1W9,Maison détachée
307157585,AC000W008510068,2223,1052-N4V0D1,H2T 2A1,
307175132,AC000W008496366,1356,2940-S4L1S0,H8P 2E1,Immeuble - moins de 5 logements
307194518,AC000W008527997,1111,2723-M0X4M3,J6W 5E7,Maison détachée
307219288,AC000W008515055,759,1401-W8N4B1,J4P2G8,Maison en rangée
307311984,AC000W008525888,1270,2728-Z2H8V0,H2K 3Y7,Immeuble - moins de 5 logements
307320234,AC000W013303836,2566,4040-D9F1P6,J7R 5H7,Maison détachée
307324483,AC000W008499654,326,2169-X1F1W7,H1X 3K3,Immeuble - moins de 5 logements
307346627,AC000W013289326,2487,4025-J6Y3B4,G1K 1Y7,Maison en rangée
307356597,AC000W008528614,332,1636-D8T6L9,H3X 2P9,Immeuble - moins de 5 logements
307386614,AC000W008518227,1561,3052-Q5V7L0,H1C 1W9,Maison en rangée
307427824,AC000W008502483,189,1722-H0C6K0,J7N 3B6,Maison détachée
307446998,AC000W008505507,2235,3309-D2J3H4,H1B 2R4,Immeuble - moins de 5 logements
307547251,AC000W008504629,938,1321-K5X2X2,G9P 0C2,Immeuble - moins de 5 logements
307692048,AC000W008493927,1240,2912-R4T6N7,H2R 2J4,Maison détachée
307707654,AC000W008507329,2293,3432-M4S3X1,J7K 0S8,Maison détachée
307717807,AC000W013295966,2488,3785-W3M8B5,J8L 4B7,Maison détachée
307727326,AC000W013287835,994,2380-X9T4D6,H2R 1Z5,Maison en rangée
307750137,AC000W008517545,2432,1514-H4S0T9,H7N5R9,
307859874,AC000W008492828,158,2208-G6P1C7,H7P2S9,
307882996,AC000W013288984,2650,2050-P6J8B1,J5B 1G5,
307890531,AC000W008537373,1610,2906-R1J8X6,H1V 0A8,Immeuble - moins de 5 logements
307926721,AC000W013305935,1752,3230-P2Q6X1,J8T 6C8,Maison détachée
307977948,AC000W013289129,2591,1569-Y8X2T2,J4n1n8,
308018115,AC000W008528975,1459,2824-M1X9V1,G1S 2W3,Maison en rangée
308055445,AC000W013297061,2631,4178-W2Q3P1,J5R 3H9,Maison détachée
308056027,AC000W013287066,2466,1327-R7M8M1,H2G 2V3,
308079244,AC000W008500191,361,1335-W2G2T2,G1J 1G5,Maison détachée
308081768,AC000W008520398,651,2325-C9L8J6,H2S 2P5,Immeuble - moins de 5 logements
308081768,AC000W013294082,651,2325-C9L8J6,H2S 2P5,Immeuble - moins de 5 logements
308083986,AC000W008493315,2673,3767-R9F7P2,G9B 7C4,Maison détachée
308095315,AC000W008489179,1825,3485-F6R3K4,J0L 2K0,Maison détachée
308108522,AC000W008526365,104,1086-R1T6L8,J7K 0R8,Maison détachée
308116628,AC000W013315942,2547,4050-M6K5M7,J5W 4K8,Maison détachée
308118779,AC000W008517927,2504,3911-Y4J5L9,G3E 2K4,Maison détachée
308141456,AC000W008506891,2128,1153-S5M1N1,H9H 4Z4,
308205608,AC000W008535096,1555,2636-X1Q5Z2,G3J 1T7,Maison détachée
308272707,AC000W013311856,2675,3959-R6D0L9,J4B 4X6,Maison détachée
308295666,AC000W008505266,1524,2844-K1D0J3,J4V 3M8,Maison détachée
308320959,AC000W008513729,2037,1434-Q4Q0P8,J0N 1M0,
308326477,AC000W008511154,2623,3885-B3T1Q5,G6V 5W3,Maison en rangée
308347379,AC000W008514746,2607,1192-D2F1R6,H2J 2Z9,
308433434,AC000W013293026,1861,1227-N0W4C4,G8Y 4Y3,
308456547,AC000W013313229,2603,3980-T0K4N3,J9H 4G3,Maison détachée
308462853,AC000W008521747,1377,2646-Z2G3M2,J5l1l4,Immeuble - moins de 5 logements
308464548,AC000W008524387,1159,2793-V2T7F9,J2S 7Z1,Maison détachée
308516790,AC000W008521987,2718,4051-K4S7L9,J5V 1S7,Maison détachée
308529709,AC000W008523830,2077,1761-Y1M6H6,H1L 4K9,
308589509,AC000W008498555,2153,3687-X7Z2V2,H7E 0G3,Maison en rangée
308599269,AC000W008523437,2354,3701-P0V1S3,G2E 5T3,Maison détachée
308599393,AC000W008529816,1787,3355-V3S0V9,J8R 1T2,Maison détachée
308622276,AC000W008527224,1114,2554-K2F1L4,G1H 1K3,Maison détachée
308640205,AC000W008511141,1398,2705-L9Q7J3,J6K 3X9,Maison détachée
308640855,AC000W008512296,2079,1289-S8D6V0,H1k5a9,
308673761,AC000W008537355,1876,3733-H4R7H5,J7R 7J2,Maison en rangée
308735279,AC000W008522017,1481,2598-W4M5B9,G1P 3M2,Maison détachée
308735279,AC000W008522114,1481,2598-W4M5B9,G1P 3M2,Maison détachée
308745662,AC000W008501865,871,1395-G0X4Y7,J7E 5M9,Maison détachée
308757055,AC000W008506876,1650,2779-Q3J6B1,G3N 0T4,Maison détachée
308758391,AC000W008526410,456,1939-Z7Z9W0,J2S 8Y9,Maison en rangée
308786555,AC000W013309825,1865,3782-Q0Y0Q5,G8Y 5R2,Maison détachée
308795534,AC000W008503965,422,1216-X8B5J5,G0X 2L0,
308819235,AC000W013313711,2661,3762-G3T8M6,G1X 3Y2,Maison en rangée
308884112,AC000W008517362,69,1102-J8Z3B9,J3X 1Z5,Maison détachée
308947553,AC000W008509047,1747,3364-B1T0T8,J0L 1N0,Maison détachée
309051020,AC000W008526431,683,1563-H4K0X6,j9j3s7,Maison détachée
309081344,AC000W008507591,2112,1509-D3T8Z4,J3N 1W1,
309169368,AC000W008505340,839,1832-X2H4M7,J3Y 5X7,Maison détachée
309205309,AC000W008507283,1680,3428-M3D4X3,J7N 3L7,Maison détachée
309213419,AC000W013316092,2581,4078-S8S2T6,G1C 7J5,Maison détachée
309267361,AC000W008511644,1514,2729-R6J5R4,G1Y 1Z8,Maison détachée
309268881,AC000W013287928,2601,3942-S4V5G8,J4V 2C1,Maison en rangée
309271723,AC000W013297879,2647,1495-V6J3Y6,J4M 2Y1,
309275584,AC000W008529422,1084,2547-W1D9Z7,G9R 1X1,Maison détachée
309300122,AC000W008526913,2493,2146-Y7M3B7,J5A 1E4,
309305964,AC000W008516233,2217,3559-P3K8P1,J8V 3M5,Maison détachée
309362289,AC000W008520757,778,2209-D7C8P7,H2S 1N2,
309372408,AC000W008535067,2523,3914-G9T5J6,H7R 4S1,Maison détachée
309403377,AC000W008503723,1475,3164-M0C6L5,G3K 0C3,Maison détachée
309420459,AC000W013296121,2712,1101-T4Q8Y5,H7H 3A1,
309430214,AC000W008508893,2692,4044-H8P9J2,J3T 1C1,Maison détachée
309431838,AC000W008521769,66,1282-Z6Z0T9,J4B 5P6,Maison détachée
